X,Y
0.00,30.00
1.00,31.40
2.00,32.80
3.00,34.20
4.00,35.60
5.00,37.00
6.00,38.40
7.00,39.80
8.00,41.20
9.00,42.60
10.00,44.00
11.00,45.40
12.00,46.80
13.00,48.20
14.00,49.60
15.00,51.00
16.00,52.40
17.00,53.80
18.00,55.20
19.00,56.60
20.00,58.00
21.00,59.40
22.00,60.80
23.00,62.20
24.00,63.60
25.00,65.00
26.00,66.40
27.00,67.80
28.00,69.20
29.00,70.60
30.00,72.00
31.00,73.40
32.00,74.80
33.00,76.20
34.00,77.60
35.00,79.00
36.00,80.40
37.00,81.80
38.00,83.20
39.00,84.60
40.00,86.00
41.00,87.40
42.00,88.80
43.00,90.20
44.00,91.60
45.00,93.00
46.00,94.40
47.00,95.80
48.00,97.20
49.00,98.60
50.00,100.00
51.00,101.40
52.00,102.80
53.00,104.20
54.00,105.60
55.00,107.00
56.00,108.40
57.00,109.80
58.00,111.20
59.00,112.60
60.00,114.00
61.00,115.40
62.00,116.80
63.00,118.20
64.00,119.60
65.00,121.00
66.00,122.40
67.00,123.80
68.00,125.20
69.00,126.60
70.00,128.00
71.00,129.40
72.00,130.80
73.00,132.20
74.00,133.60
75.00,135.00
76.00,136.40
77.00,137.80
78.00,139.20
79.00,140.60
80.00,142.00
81.00,143.40
82.00,144.80
83.00,146.20
84.00,147.60
85.00,149.00
86.00,150.40
87.00,151.80
88.00,153.20
89.00,154.60
90.00,156.00
91.00,157.40
92.00,158.80
93.00,160.20
94.00,161.60
95.00,163.00
96.00,164.40
97.00,165.80
98.00,167.20
99.00,168.60
100.00,170.00
101.00,171.40
102.00,172.80
103.00,174.20
104.00,175.60
105.00,177.00
106.00,178.40
107.00,179.80
108.00,181.20
109.00,182.60
110.00,184.00
111.00,185.40
112.00,186.80
113.00,188.20
114.00,189.60
115.00,191.00
116.00,192.40
117.00,193.80
118.00,195.20
119.00,196.60
120.00,198.00
121.00,199.40
122.00,200.80
123.00,202.20
124.00,203.60
125.00,205.00
126.00,206.40
127.00,207.80
128.00,209.20
129.00,210.60
130.00,212.00
131.00,213.40
132.00,214.80
133.00,216.20
134.00,217.60
135.00,219.00
136.00,220.40
137.00,221.80
138.00,223.20
139.00,224.60
140.00,226.00
141.00,227.40
142.00,228.80
143.00,230.20
144.00,231.60
145.00,233.00
146.00,234.40
147.00,235.80
148.00,237.20
149.00,238.60
150.00,240.00
151.00,241.40
152.00,242.80
153.00,244.20
154.00,245.60
155.00,247.00
156.00,248.40
157.00,249.80
158.00,251.20
159.00,252.60
160.00,254.00
161.00,255.40
162.00,256.80
163.00,258.20
164.00,259.60
165.00,261.00
166.00,262.40
167.00,263.80
168.00,265.20
169.00,266.60
170.00,268.00
171.00,269.40
172.00,270.80
173.00,272.20
174.00,273.60
175.00,275.00
176.00,276.40
177.00,277.80
178.00,279.20
179.00,280.60
180.00,282.00
181.00,283.40
182.00,284.80
183.00,286.20
184.00,287.60
185.00,289.00
186.00,290.40
187.00,291.80
188.00,293.20
189.00,294.60
190.00,296.00
191.00,297.40
192.00,298.80
193.00,300.20
194.00,301.60
195.00,303.00
196.00,304.40
197.00,305.80
198.00,307.20
199.00,308.60
200.00,310.00
201.00,311.40
202.00,312.80
203.00,314.20
204.00,315.60
205.00,317.00
206.00,318.40
207.00,319.80
208.00,321.20
209.00,322.60
210.00,324.00
211.00,325.40
212.00,326.80
213.00,328.20
214.00,329.60
215.00,331.00
216.00,332.40
217.00,333.80
218.00,335.20
219.00,336.60
220.00,338.00
221.00,339.40
222.00,340.80
223.00,342.20
224.00,343.60
225.00,345.00
226.00,346.40
227.00,347.80
228.00,349.20
229.00,350.60
230.00,352.00
231.00,353.40
232.00,354.80
233.00,356.20
234.00,357.60
235.00,359.00
236.00,360.40
237.00,361.80
238.00,363.20
239.00,364.60
240.00,366.00
241.00,367.40
242.00,368.80
243.00,370.20
244.00,371.60
245.00,373.00
246.00,374.40
247.00,375.80
248.00,377.20
249.00,378.60
250.00,380.00
251.00,381.40
252.00,382.80
253.00,384.20
254.00,385.60
255.00,387.00
256.00,388.40
257.00,389.80
258.00,391.20
259.00,392.60
260.00,394.00
261.00,395.40
262.00,396.80
263.00,398.20
264.00,399.60
265.00,401.00
266.00,402.40
267.00,403.80
268.00,405.20
269.00,406.60
270.00,408.00
271.00,409.40
272.00,410.80
273.00,412.20
274.00,413.60
275.00,415.00
276.00,416.40
277.00,417.80
278.00,419.20
279.00,420.60
280.00,422.00
281.00,423.40
282.00,424.80
283.00,426.20
284.00,427.60
285.00,429.00
286.00,430.40
287.00,431.80
288.00,433.20
289.00,434.60
