X,Y
0.00,33.00
1.00,34.20
2.00,35.40
3.00,36.60
4.00,37.80
5.00,39.00
6.00,40.20
7.00,41.40
8.00,42.60
9.00,43.80
10.00,45.00
11.00,46.20
12.00,47.40
13.00,48.60
14.00,49.80
15.00,51.00
16.00,52.20
17.00,53.40
18.00,54.60
19.00,55.80
20.00,57.00
21.00,58.20
22.00,59.40
23.00,60.60
24.00,61.80
25.00,63.00
26.00,64.20
27.00,65.40
28.00,66.60
29.00,67.80
30.00,69.00
31.00,70.20
32.00,71.40
33.00,72.60
34.00,73.80
35.00,75.00
36.00,76.20
37.00,77.40
38.00,78.60
39.00,79.80
40.00,81.00
41.00,82.20
42.00,83.40
43.00,84.60
44.00,85.80
45.00,87.00
46.00,88.20
47.00,89.40
48.00,90.60
49.00,91.80
50.00,93.00
51.00,94.20
52.00,95.40
53.00,96.60
54.00,97.80
55.00,99.00
56.00,100.20
57.00,101.40
58.00,102.60
59.00,103.80
60.00,105.00
61.00,106.20
62.00,107.40
63.00,108.60
64.00,109.80
65.00,111.00
66.00,112.20
67.00,113.40
68.00,114.60
69.00,115.80
70.00,117.00
71.00,118.20
72.00,119.40
73.00,120.60
74.00,121.80
75.00,123.00
76.00,124.20
77.00,125.40
78.00,126.60
79.00,127.80
80.00,129.00
81.00,130.20
82.00,131.40
83.00,132.60
84.00,133.80
85.00,135.00
86.00,136.20
87.00,137.40
88.00,138.60
89.00,139.80
90.00,141.00
91.00,142.20
92.00,143.40
93.00,144.60
94.00,145.80
95.00,147.00
96.00,148.20
97.00,149.40
98.00,150.60
99.00,151.80
100.00,153.00
