X,Y
0.00,31.52
1.00,32.82
2.00,34.12
3.00,35.42
4.00,36.72
5.00,38.02
6.00,39.32
7.00,40.62
8.00,41.92
9.00,43.22
10.00,44.52
11.00,45.82
12.00,47.12
13.00,48.42
14.00,49.72
15.00,51.02
16.00,52.32
17.00,53.62
18.00,54.92
19.00,56.22
20.00,57.52
21.00,58.82
22.00,60.12
23.00,61.42
24.00,62.72
25.00,64.02
26.00,65.32
27.00,66.62
28.00,67.92
29.00,69.22
30.00,70.52
31.00,71.82
32.00,73.12
33.00,74.42
34.00,75.72
35.00,77.02
36.00,78.32
37.00,79.62
38.00,80.92
39.00,82.22
40.00,83.52
41.00,84.82
42.00,86.12
43.00,87.42
44.00,88.72
45.00,90.02
46.00,91.32
47.00,92.62
48.00,93.92
49.00,95.22
50.00,96.52
51.00,97.82
52.00,99.12
53.00,100.42
54.00,101.72
55.00,103.02
56.00,104.32
57.00,105.62
58.00,106.92
59.00,108.22
60.00,109.52
61.00,110.82
62.00,112.12
63.00,113.42
64.00,114.72
65.00,116.02
66.00,117.32
67.00,118.62
68.00,119.92
69.00,121.22
70.00,122.52
71.00,123.82
72.00,125.12
73.00,126.42
74.00,127.72
75.00,129.02
76.00,130.32
77.00,131.62
78.00,132.92
79.00,134.22
80.00,135.52
81.00,136.82
82.00,138.12
83.00,139.42
84.00,140.72
85.00,142.02
86.00,143.32
87.00,144.62
88.00,145.92
89.00,147.22
90.00,148.52
91.00,149.82
92.00,151.12
93.00,152.42
94.00,153.72
95.00,155.02
96.00,156.32
97.00,157.62
98.00,158.92
99.00,160.22
100.00,161.52
